Jacobi eigvals:          Numpy eigvals:
542.85452               2507.65633
2030.38913               2502.45742
91.51857               2499.02922
2404.51907               2495.14916
35.08243               2489.92084
1429.78002               2483.41177
1197.08717               2475.67288
2248.04268                2466.7304
286.83304               2456.60219
1619.40251               2445.30305
710.53661               2432.84683
2495.14916                2419.2474
196.27034               2404.51907
1834.96082               2388.67687
928.73741               2371.73666
2445.30305               2353.71521
2.93946               2334.63023
1693.04138               2314.50038
420.91283                2293.3453
2172.94443               2271.18555
54.15877               2248.04268
1764.98694               2223.93913
854.3583               2198.89829
2314.50038               2172.94443
157.0544               2146.10268
1274.82683               2118.39905
575.13899               2089.86037
2483.41177               2060.51426
364.67018               2030.38913
1967.91916               1999.51413
1119.57306               1967.91916
2432.84683               1935.63479
10.99893               1902.69225
1544.35526               1869.12344
781.53077               1834.96082
2353.71521               1800.23745
77.91776               1764.98694
2118.39905               1729.24339
1004.38032               1693.04138
2499.02922               1656.41595
239.58599               1619.40251
1352.49128                1582.0369
480.38434               1544.35526
2371.73666               1506.39404
217.42587               1468.18997
1902.69225               1429.78002
1042.58441               1391.20135
2466.7304               1352.49128
20.80544               1313.68726
1468.18997               1274.82683
641.6505                1235.9476
2198.89829               1197.08717
44.02814               1158.28314
1999.51413               1119.57306
817.73283               1080.99437
2502.45742               1042.58441
176.13998               1004.38032
1391.20135                966.41908
511.25944                928.73741
2271.18555                891.37177
311.87414                 854.3583
1869.12344                817.73283
1158.28314                781.53077
2419.2474                745.78717
6.93469                710.53661
1656.41595                675.81318
675.81318                 641.6505
2146.10268                 608.0816
27.33739                575.13899
2089.86037                542.85452
891.37177                511.25944
2507.65633                480.38434
122.09123                450.25908
1313.68726                420.91283
392.37398                392.37398
2334.63023                364.67018
262.7292                337.82823
1800.23745                311.87414
1080.99437                286.83304
2475.67288                 262.7292
15.44816                239.58599
1582.0369                217.42587
450.25908                196.27034
2293.3453                176.13998
106.24806                 157.0544
2060.51426                139.03226
1235.9476                122.09123
2456.60219                106.24806
65.45989                 91.51857
1506.39404                 77.91776
745.78717                 65.45989
2388.67687                 54.15877
337.82823                 44.02814
1935.63479                 35.08243
966.41908                 27.33739
2489.92084                 20.80544
139.03226                 15.44816
2223.93913                 10.99893
608.0816                  6.93469
1729.24339                  2.93946
